Album,Title,Album Cover,Spotify
EXIST,Cinderella,https://i.scdn.co/image/ab67616d0000b2737657059390a7871c158fd966,https://open.spotify.com/embed/track/7I5GXijbz8XNZjbn45t8bu
EXIST,Cream Soda,https://i.scdn.co/image/ab67616d0000b2737657059390a7871c158fd966,https://open.spotify.com/embed/track/42h7yc9Rda1IOMYLACVgld
EXIST,Hear Me Out,https://i.scdn.co/image/ab67616d0000b2737657059390a7871c158fd966,https://open.spotify.com/embed/track/09C8pAhOWcDiLL1n1I6lqt
EXIST,Regret It,https://i.scdn.co/image/ab67616d0000b2737657059390a7871c158fd966,https://open.spotify.com/embed/track/21bzlRvgyr4nHdav7ayosn
EXIST,Another Day,https://i.scdn.co/image/ab67616d0000b2737657059390a7871c158fd966,https://open.spotify.com/embed/track/7BE2rwnP5B2bCeLLpY40Tm
EXIST,Love Fool,https://i.scdn.co/image/ab67616d0000b2737657059390a7871c158fd966,https://open.spotify.com/embed/track/6xiWbjsJD3pBKdM8tH46qH
EXIST,Private Party,https://i.scdn.co/image/ab67616d0000b2737657059390a7871c158fd966,https://open.spotify.com/embed/track/6UbC3x9AIQEnJn5CLrtXge
EXIST,Let Me In,https://i.scdn.co/image/ab67616d0000b2737657059390a7871c158fd966,https://open.spotify.com/embed/track/3s9YpuocAjzVt0NLshCrpT
EXIST,No Makeup,https://i.scdn.co/image/ab67616d0000b2737657059390a7871c158fd966,https://open.spotify.com/embed/track/3pT5BuUxD9wwpyR3F6u92U
LOVE SHOT,Tempo,https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/1iifBZFQbZlO1BbeaO3KGi
LOVE SHOT,Sign,https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/2WoZh6Z32L6lEEDu7wxmfT
LOVE SHOT,트라우마 (Trauma),https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/4vh7bEuYAU9TtBRXwcLtn9
LOVE SHOT,가끔 (With You),https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/5XBSIKuDdWjTTvn2TDZftZ
LOVE SHOT,Gravity,https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/24r3v5xQdmC4qXH6twiWla
LOVE SHOT,닿은 순간 (Ooh La La La),https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/6n6G0ORHLwMiQYzgT0QxWV
LOVE SHOT,Love Shot,https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/0yB4jrSwN0bFtFRDR5vyMj
LOVE SHOT,24 7,https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/6EjU5hbaHHtzuZUGkH0cJQ
LOVE SHOT,여기 있을게 (Smile On My Face),https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/2kR6mugnuItlVaqMejBe65
LOVE SHOT,오아시스 (Oasis),https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/2Ewt35352UKONyzomJlqXu
LOVE SHOT,Wait,https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/1gyhtYG9OWOZvhZzDVF6lq
LOVE SHOT,Damage,https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/7lWNCugRVcucncRCvx4egm
LOVE SHOT,후폭풍 (Bad Dream),https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,https://open.spotify.com/embed/track/1NogfH2gHGbm2hqKmxreHK
The War,내가 미쳐 (Going Crazy),https://i.scdn.co/image/ab67616d0000b273cfa7df33c2224ee1dea88526,https://open.spotify.com/embed/track/64EJgeHPkqJThnr7RDppo3
The War,소름 (Chill),https://i.scdn.co/image/ab67616d0000b273cfa7df33c2224ee1dea88526,https://open.spotify.com/embed/track/0NYI7lXYvyEhpjP0yWAjRg
The War,너의 손짓 (Touch It),https://i.scdn.co/image/ab67616d0000b273cfa7df33c2224ee1dea88526,https://open.spotify.com/embed/track/1SKltjAmqarrBgHW5HrcKW
The War,Forever,https://i.scdn.co/image/ab67616d0000b273cfa7df33c2224ee1dea88526,https://open.spotify.com/embed/track/3HbODbLPYqeHcRXApoWJDy
The War,기억을 걷는 밤 (Walk On Memories),https://i.scdn.co/image/ab67616d0000b273cfa7df33c2224ee1dea88526,https://open.spotify.com/embed/track/6lRGSp6vkzCvrHSwqO9Tx6
The War,What U do?,https://i.scdn.co/image/ab67616d0000b273cfa7df33c2224ee1dea88526,https://open.spotify.com/embed/track/5NB0u5gWcwH1D6y3euVSKI
The War,Ko Ko Bop,https://i.scdn.co/image/ab67616d0000b273cfa7df33c2224ee1dea88526,https://open.spotify.com/embed/track/5EzitieoPnjyKHAq0gfRMa
The War,다이아몬드 (Diamond),https://i.scdn.co/image/ab67616d0000b273cfa7df33c2224ee1dea88526,https://open.spotify.com/embed/track/23WPXHPulg0iDXSO4aFFh1
The War,전야 (前夜) (The Eve),https://i.scdn.co/image/ab67616d0000b273cfa7df33c2224ee1dea88526,https://open.spotify.com/embed/track/2ujA6F1cpk3m8lsPE5aKua
